iter	Passed	Remaining
0	1	129
1	2	104
2	5	162
3	7	171
4	8	158
5	8	140
6	9	127
7	10	118
8	11	111
9	11	106
10	12	100
11	13	96
12	13	92
13	14	89
14	15	86
15	15	83
16	16	80
17	17	78
18	19	84
19	21	84
20	22	84
21	23	81
22	23	79
23	24	78
24	25	76
25	26	74
26	26	72
27	27	70
28	27	68
29	28	66
30	29	65
31	30	63
32	30	62
33	31	61
34	35	65
35	36	64
36	36	62
37	37	61
38	38	59
39	39	58
40	39	57
41	40	56
42	41	54
43	41	53
44	42	52
45	43	50
46	44	49
47	44	48
48	45	47
49	46	46
50	48	46
51	48	45
52	49	44
53	50	42
54	51	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	57	31
65	58	30
66	62	30
67	63	29
68	64	28
69	65	27
70	65	26
71	66	25
72	67	24
73	67	23
74	68	22
75	69	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	16
81	73	16
82	76	15
83	78	15
84	79	14
85	80	13
86	81	12
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	87	2
97	90	1
98	92	0
99	92	0
